Artikelnummer	Kurzbez.	Lagerware	Warengruppe	Warenuntergruppe	Langtext	Artikelhinweis	Abmessungen	Sockel	Lichtfarbe	Leistung	Lichtstrom	CRI	Anzahl LEDs	LED Typ	Abstrahlwinkel	Optik	Gehäuse	Farbe	Gewicht	Eingangsspannung	Powerfaktor	Schutzart	Betriebstemperatur	Luftfeuchtigkeit	Lifetime	Garantie	Zertifikate
10500	SMD0895-I-30/8HPTM		LED Tubes	LED Tubes 895	SMD0895-I-30/8HPTM     LED Tube 895 SMD 0,3W 3000K 14W Ra80 Full PC milky (inkl. Starter-Ersatz)		L895 Ø26	G13	3000K	14	1125	80	40	SMD 0,3W	120°	milky	Full PC	silber	290	150-240 V / 50-60 Hz	0,91	IP65	-28° - +45° C	0,9	45.000 h	60 Mon.	VDE, EMC, TÜV, CE, RoHS
10503	SMD0895-I-40/8HPT		LED Tubes	LED Tubes 895	SMD0895-I-40/8HPT     LED Tube 895 SMD 0,3W 4000K 14W Ra80 Full PC clear (inkl. Starter-Ersatz)		L895 Ø26	G13	4000K	14	1450	80	40	SMD 0,3W	120°	clear	Full PC	silber	290	150-240 V / 50-60 Hz	0,91	IP65	-28° - +45° C	0,9	45.000 h	60 Mon.	VDE, EMC, TÜV, CE, RoHS
10504	SMD0895-I-40/8HPTM		LED Tubes	LED Tubes 895	SMD0895-I-40/8HPTM     LED Tube 895 SMD 0,3W 4000K 14W Ra80 Full PC milky (inkl. Starter-Ersatz)		L895 Ø26	G13	4000K	14	1250	80	40	SMD 0,3W	120°	milky	Full PC	silber	290	150-240 V / 50-60 Hz	0,91	IP65	-28° - +45° C	0,9	45.000 h	60 Mon.	VDE, EMC, TÜV, CE, RoHS
10604	SMD0895-I-60/8HPT		LED Tubes	LED Tubes 895	SMD0895-I-60/8HPT     LED Tube 895 SMD 0,3W 6000K 14W Ra80 Full PC clear (inkl. Starter-Ersatz)		L895 Ø26	G13	6000K	14	1450	80	40	SMD 0,3W	120°	clear	Full PC	silber	290	150-240 V / 50-60 Hz	0,91	IP65	-28° - +45° C	0,9	45.000 h	60 Mon.	VDE, EMC, TÜV, CE, RoHS
10605	SMD0895-I-60/8HPTM		LED Tubes	LED Tubes 895	SMD0895-I-60/8HPTM     LED Tube 895 SMD 0,3W 6000K 14W Ra80 Full PC milky (inkl. Starter-Ersatz)		L895 Ø26	G13	6000K	14	1250	80	40	SMD 0,3W	120°	milky	Full PC	silber	290	150-240 V / 50-60 Hz	0,91	IP65	-28° - +45° C	0,9	45.000 h	60 Mon.	VDE, EMC, TÜV, CE, RoHS
10700	SMD0895-I(SB)-27/9T		LED Tubes	LED Tubes 895	SMD0895-I(SB)-27/9T     LED Tube 895 SMD 0,06W 2700K 14W Ra90 Full PC clear (inkl. Starter-Ersatz)		L895 Ø26	G13	2700K	14	990	90	220	SMD 0,06W	120°	clear	Full PC	silber	290	150-240 V / 50-60 Hz	0,93	IP65	-28° - +45° C	0,9	45.000 h	60 Mon.	VDE, EMC, TÜV, CE, RoHS
10750	SMD0895-I53-30MM		LED Tubes	LED Tubes 895	SMD0895-I53-30MM     LED Tube 895 SMD 0,3W 3000K 14W Ra82 Full PC MM (inkl. Starter-Ersatz)		L590 Ø26	G13	3000K	14	1465	82	84	SMD 0,3W	120°	MM	Full PC	weiss	295	150-240 V / 50-60 Hz	0,91	IP65	-28° - +45° C	0,9	50.000 h	60 Mon.	VDE, EMC, TÜV, CE, RoHS
10751	SMD0895-I53-40MM		LED Tubes	LED Tubes 895	SMD0895-I53-40MM     LED Tube 895 SMD 0,3W 4000K 14W Ra82 Full PC MM (inkl. Starter-Ersatz)		L590 Ø26	G13	4000K	14	1630	82	84	SMD 0,3W	120°	MM	Full PC	weiss	295	150-240 V / 50-60 Hz	0,91	IP65	-28° - +45° C	0,9	50.000 h	60 Mon.	VDE, EMC, TÜV, CE, RoHS
10752	SMD0895-I53-60MM		LED Tubes	LED Tubes 895	SMD0895-I53-60MM     LED Tube 895 SMD 0,3W 6000K 14W Ra82 Full PC MM (inkl. Starter-Ersatz)		L590 Ø26	G13	6000K	14	1630	82	84	SMD 0,3W	120°	MM	Full PC	weiss	295	150-240 V / 50-60 Hz	0,91	IP65	-28° - +45° C	0,9	50.000 h	60 Mon.	VDE, EMC, TÜV, CE, RoHS
11002	SMD1200-I-30/8HPT		LED Tubes	LED Tubes 1200	SMD1200-I-30/8HPT     LED Tube 1200 SMD 0,3W 3000K 18W Ra80 Full PC clear (inkl. Starter-Ersatz)		L1200 Ø26	G13	3000K	18	1400	80	52	SMD 0,3W	120°	clear	Full PC	silber	390	150-240 V / 50-60 Hz	0,91	IP65	-28° - +45° C	0,9	45.000 h	60 Mon.	VDE, EMC, TÜV, CE, RoHS
11003	SMD1200-I-30/8HPTM		LED Tubes	LED Tubes 1200	SMD1200-I-30/8HPTM     LED Tube 1200 SMD 0,3W 3000K 18W Ra80 Full PC milky (inkl. Starter-Ersatz)		L1200 Ø26	G13	3000K	18	1080	80	52	SMD 0,3W	120°	milky	Full PC	silber	390	150-240 V / 50-60 Hz	0,91	IP65	-28° - +45° C	0,9	45.000 h	60 Mon.	VDE, EMC, TÜV, CE, RoHS
11102	SMD1200-I-40/8HPT		LED Tubes	LED Tubes 1200	SMD1200-I-40/8HPT     LED Tube 1200 SMD 0,3W 4000K 18W Ra80 Full PC clear (inkl. Starter-Ersatz)		L1200 Ø26	G13	4000K	18	1600	80	52	SMD 0,3W	120°	clear	Full PC	silber	390	150-240 V / 50-60 Hz	0,91	IP65	-28° - +45° C	0,9	45.000 h	60 Mon.	VDE, EMC, TÜV, CE, RoHS
11103	SMD1200-I-40/8HPTM		LED Tubes	LED Tubes 1200	SMD1200-I-40/8HPTM     LED Tube 1200 SMD 0,3W 4000K 18W Ra80 Full PC milky (inkl. Starter-Ersatz)		L1200 Ø26	G13	4000K	18	1200	80	52	SMD 0,3W	120°	milky	Full PC	silber	390	150-240 V / 50-60 Hz	0,91	IP65	-28° - +45° C	0,9	45.000 h	60 Mon.	VDE, EMC, TÜV, CE, RoHS
11204	SMD1200-I-60/8HPT		LED Tubes	LED Tubes 1200	SMD1200-I-60/8HPT     LED Tube 1200 SMD 0,3W 6000K 18W Ra80 Full PC clear (inkl. Starter-Ersatz)		L1200 Ø26	G13	6000K	18	1600	80	52	SMD 0,3W	120°	clear	Full PC	silber	390	150-240 V / 50-60 Hz	0,91	IP65	-28° - +45° C	0,9	45.000 h	60 Mon.	VDE, EMC, TÜV, CE, RoHS
